metabolite,pathway
1-linoleoylglycerol (18:2),Glycerolipid Metabolism
1-methyl-4-imidazoleacetate,Histidine Metabolism
1-methyl-5-imidazoleacetate,Histidine Metabolism
1-methyl-5-imidazolelactate,Histidine Metabolism
1-methylguanidine,Modified Nucleoside Metabolism
1-methylhistidine,Amino Acid Metabolism
1-methylnicotinamide,Nicotinate and Nicotinamide Metabolism
1-myristoyl-2-arachidonoyl-GPC (14:0/20:4)*,Glycerophospholipid Metabolism
1-myristoyl-2-palmitoyl-GPC (14:0/16:0),Glycerophospholipid Metabolism
1-oleoyl-2-arachidonoyl-GPE (18:1/20:4)*,Glycerophospholipid Metabolism
1-oleoyl-2-docosahexaenoyl-GPC (18:1/22:6)*,Glycerophospholipid Metabolism
1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*,Glycerophospholipid Metabolism
1-oleoyl-GPC (18:1),Glycerophospholipid Metabolism
1-oleoyl-GPE (18:1),Glycerophospholipid Metabolism
1-oleoyl-GPI (18:1),Glycerophospholipid Metabolism
1-oleoylglycerol (18:1),Glycerolipid Metabolism
1-palmitoleoyl-2-linolenoyl-GPC (16:1/18:3)*,Glycerophospholipid Metabolism
1-palmitoleoyl-GPC (16:1)*,Glycerophospholipid Metabolism
1-palmitoleoylglycerol (16:1)*,Glycerolipid Metabolism
1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6),Glycerophospholipid Metabolism
1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*,Glycerophospholipid Metabolism
1-palmitoyl-2-arachidonoyl-GPI (16:0/20:4)*,Glycerophospholipid Metabolism
1-palmitoyl-2-dihomo-linolenoyl-GPC (16:0/20:3n3 or 6)*,Glycerophospholipid Metabolism
1-palmitoyl-2-docosahexaenoyl-GPC (16:0/22:6),Glycerophospholipid Metabolism
1-palmitoyl-2-docosahexaenoyl-GPE (16:0/22:6)*,Glycerophospholipid Metabolism
1-palmitoyl-2-linoleoyl-GPC (16:0/18:2),Glycerophospholipid Metabolism
1-palmitoyl-2-linoleoyl-GPE (16:0/18:2),Glycerophospholipid Metabolism
1-palmitoyl-2-linoleoyl-GPI (16:0/18:2),Glycerophospholipid Metabolism
1-palmitoyl-2-oleoyl-GPC (16:0/18:1),Glycerophospholipid Metabolism
1-palmitoyl-2-oleoyl-GPE (16:0/18:1),Glycerophospholipid Metabolism
1-palmitoyl-2-oleoyl-GPI (16:0/18:1)*,Glycerophospholipid Metabolism
1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*,Glycerophospholipid Metabolism
1-palmitoyl-2-stearoyl-GPC (16:0/18:0),Glycerophospholipid Metabolism
1-palmitoyl-2-stearoyl-GPE (16:0/18:0)*,Glycerophospholipid Metabolism
1-palmitoyl-GPC (16:0),Glycerophospholipid Metabolism
1-palmitoyl-GPE (16:0),Glycerophospholipid Metabolism
1-palmitoyl-GPI (16:0),Glycerophospholipid Metabolism
1-ribosyl-imidazoleacetate*,Histidine Metabolism
1-stearoyl-2-arachidonoyl-GPC (18:0/20:4),Glycerophospholipid Metabolism
1-stearoyl-2-arachidonoyl-GPE (18:0/20:4),Glycerophospholipid Metabolism
1-stearoyl-2-arachidonoyl-GPI (18:0/20:4),Glycerophospholipid Metabolism
1-stearoyl-2-arachidonoyl-GPS (18:0/20:4),Glycerophospholipid Metabolism
1-stearoyl-2-docosahexaenoyl-GPC (18:0/22:6),Glycerophospholipid Metabolism
1-stearoyl-2-docosahexaenoyl-GPE (18:0/22:6)*,Glycerophospholipid Metabolism
1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*,Glycerophospholipid Metabolism
1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*,Glycerophospholipid Metabolism
1-stearoyl-2-linoleoyl-GPI (18:0/18:2),Glycerophospholipid Metabolism
1-stearoyl-2-oleoyl-GPC (18:0/18:1),Glycerophospholipid Metabolism
1-stearoyl-2-oleoyl-GPE (18:0/18:1),Glycerophospholipid Metabolism
1-stearoyl-2-oleoyl-GPI (18:0/18:1)*,Glycerophospholipid Metabolism
1-stearoyl-2-oleoyl-GPS (18:0/18:1),Glycerophospholipid Metabolism
1-stearoyl-GPC (18:0),Glycerophospholipid Metabolism
1-stearoyl-GPE (18:0),Glycerophospholipid Metabolism
1-stearoyl-GPG (18:0),Glycerophospholipid Metabolism
1-stearoyl-GPI (18:0),Glycerophospholipid Metabolism
1-stearoyl-GPS (18:0)*,Glycerophospholipid Metabolism
10-heptadecenoate (17:1n7),Fatty Acid Metabolism
10-nonadecenoate (19:1n9),Fatty Acid Metabolism
10-undecenoate (11:1n1),Fatty Acid Metabolism
16-hydroxypalmitate,Fatty Acid Metabolism
16a-hydroxy DHEA 3-sulfate,Steroid Hormone Biosynthesis
2'-deoxyuridine,Pyrimidine Metabolism
"2,3-dihydroxy-2-methylbutyrate",Valine Leucine Isoleucine Degradation
2-aminoheptanoate,Fatty Acid Metabolism
2-aminooctanoate,Fatty Acid Metabolism
2-arachidonoylglycerol (20:4),Glycerolipid Metabolism
2-hydroxy-3-methylvalerate,Valine Leucine Isoleucine Degradation
2-hydroxy-4-(methylthio)butanoic acid,Fatty Acid Metabolism
2-hydroxyarachidate*,Fatty Acid Metabolism
2-hydroxybehenate,Fatty Acid Metabolism
2-hydroxybutyrate/2-hydroxyisobutyrate,Valine Leucine Isoleucine Degradation
2-hydroxydecanoate,Fatty Acid Metabolism
2-hydroxyglutarate,TCA Cycle
2-hydroxylaurate,Fatty Acid Metabolism
2-hydroxymyristate,Fatty Acid Metabolism
2-hydroxyoctanoate,Fatty Acid Metabolism
2-hydroxypalmitate,Fatty Acid Metabolism
2-hydroxyphenylacetate,Phenylalanine Metabolism
2-hydroxysebacate,Fatty Acid Metabolism
2-hydroxystearate,Fatty Acid Metabolism
2-linoleoylglycerol (18:2),Glycerolipid Metabolism
2-methylbutyrylcarnitine (C5),Fatty Acid Degradation
2-methylmalonylcarnitine (C4-DC),Fatty Acid Degradation
2-oleoylglycerol (18:1),Glycerolipid Metabolism
2-palmitoyl-GPC (16:0)*,Glycerophospholipid Metabolism
2-stearoyl-GPE (18:0)*,Glycerophospholipid Metabolism
21-hydroxypregnenolone disulfate,Steroid Hormone Biosynthesis
3-(3-amino-3-carboxypropyl)uridine*,Pyrimidine Metabolism
3-(4-hydroxyphenyl)lactate,Glycolysis / Gluconeogenesis
3-aminoisobutyrate,Valine Leucine Isoleucine Degradation
3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF),Fatty Acid Metabolism
3-decenoylcarnitine,Fatty Acid Degradation
3-hydroxy-3-methylglutarate,Valine Leucine Isoleucine Degradation
3-hydroxybutyrate (BHBA),Butanoate Metabolism
3-hydroxydecanoate,Fatty Acid Metabolism
3-hydroxydecanoylcarnitine,Fatty Acid Degradation
3-hydroxyhexanoate,Fatty Acid Metabolism
3-hydroxyhexanoylcarnitine (1),Fatty Acid Degradation
3-hydroxyisobutyrate,Valine Leucine Isoleucine Degradation
3-hydroxylaurate,Fatty Acid Metabolism
3-hydroxyoctanoate,Fatty Acid Metabolism
3-hydroxyoctanoylcarnitine (1),Fatty Acid Degradation
3-hydroxyoctanoylcarnitine (2),Fatty Acid Degradation
3-hydroxyoleoylcarnitine,Fatty Acid Degradation
3-hydroxysebacate,Fatty Acid Metabolism
3-hydroxystearate,Fatty Acid Metabolism
3-indoxyl sulfate,Tryptophan Metabolism
3-methyl-2-oxobutyrate,Valine Leucine Isoleucine Degradation
3-methyl-2-oxovalerate,Valine Leucine Isoleucine Degradation
3-methylglutarylcarnitine (2),Fatty Acid Degradation
3-methylhistidine,Amino Acid Metabolism
3b-hydroxy-5-cholenoic acid,Fatty Acid Metabolism
4-acetamidobutanoate,Fatty Acid Metabolism
4-guanidinobutanoate,Fatty Acid Metabolism
4-hydroxy-2-oxoglutaric acid,Fatty Acid Metabolism
4-hydroxyphenylacetate,Phenylalanine Metabolism
4-hydroxyphenylacetoylcarnitine,Fatty Acid Degradation
4-hydroxyphenylpyruvate,Phenylalanine Metabolism
4-methyl-2-oxopentanoate,Fatty Acid Metabolism
"5,6-dihydrouracil",Pyrimidine Metabolism
5-(galactosylhydroxy)-L-lysine,Amino Acid Metabolism
5-dodecenoate (12:1n7),Fatty Acid Metabolism
5-dodecenoylcarnitine (C12:1),Fatty Acid Degradation
5-hydroxyhexanoate,Fatty Acid Metabolism
5-hydroxyindole glucuronide,Tryptophan Metabolism
5-hydroxyindole sulfate,Tryptophan Metabolism
5-methyluridine (ribothymidine),Modified Nucleoside Metabolism
5-oxoproline,Glutathione Metabolism
6-bromotryptophan,Tryptophan Metabolism
7-dehydrocholesterol,Steroid Hormone Biosynthesis
8-methoxykynurenate,Tryptophan Metabolism
9-hydroxystearate,Fatty Acid Metabolism
C-glycosyltryptophan,Tryptophan Metabolism
"N,N,N-trimethyl-alanylproline betaine (TMAP)",Amino Acid Metabolism
N-acetyl-1-methylhistidine*,Amino Acid Metabolism
N-acetyl-2-aminooctanoate*,Fatty Acid Metabolism
N-acetyl-3-methylhistidine*,Amino Acid Metabolism
N-acetyl-aspartyl-glutamate (NAAG),Amino Acid Metabolism
N-acetyl-beta-alanine,Amino Acid Metabolism
N-acetyl-cadaverine,Amino Acid Metabolism
N-acetylaspartate (NAA),Amino Acid Metabolism
N-acetylcarnosine,Histidine Metabolism
N-acetylkynurenine (2),Tryptophan Metabolism
N-acetylputrescine,Amino Acid Metabolism
N-acetyltryptophan,Tryptophan Metabolism
N-formylanthranilic acid,Tryptophan Metabolism
N-palmitoyl-heptadecasphingosine (d17:1/16:0)*,Sphingolipid Metabolism
N-palmitoyl-sphinganine (d18:0/16:0),Sphingolipid Metabolism
N-palmitoyl-sphingosine (d18:1/16:0),Sphingolipid Metabolism
N-stearoyl-sphinganine (d18:0/18:0)*,Sphingolipid Metabolism
N-stearoyl-sphingosine (d18:1/18:0)*,Sphingolipid Metabolism
N1-methyladenosine,Modified Nucleoside Metabolism
N1-methylinosine,Modified Nucleoside Metabolism
"N2,N2-dimethylguanosine",Modified Nucleoside Metabolism
N4-acetylcytidine,Modified Nucleoside Metabolism
N6-methyladenosine,Modified Nucleoside Metabolism
S-adenosylhomocysteine (SAH),One Carbon Pool by Folate
acetoacetate,Butanoate Metabolism
acetylcarnitine (C2),Fatty Acid Degradation
aconitate [cis or trans],TCA Cycle
adenine,Purine Metabolism
adenosine,Purine Metabolism
"adenosine 3',5'-cyclic monophosphate (cAMP)",Purine Metabolism
adenosine 5'-monophosphate (AMP),Purine Metabolism
adipoylcarnitine (C6-DC),Fatty Acid Degradation
adrenate (22:4n6),Fatty Acid Metabolism
adrenoylcarnitine (C22:4)*,Fatty Acid Degradation
alanine,Amino Acid Metabolism
allantoin,Purine Metabolism
alpha-hydroxyisovalerate,Valine Leucine Isoleucine Degradation
alpha-ketoglutarate,TCA Cycle
arachidate (20:0),Fatty Acid Metabolism
arachidonate (20:4n6),Fatty Acid Metabolism
arachidonoylcarnitine (C20:4),Fatty Acid Degradation
arachidoylcarnitine (C20)*,Fatty Acid Degradation
arginine,Amino Acid Metabolism
asparagine,Amino Acid Metabolism
aspartate,Amino Acid Metabolism
behenoyl dihydrosphingomyelin (d18:0/22:0)*,Sphingolipid Metabolism
behenoyl sphingomyelin (d18:1/22:0)*,Sphingolipid Metabolism
behenoylcarnitine (C22)*,Fatty Acid Degradation
beta-alanine,Amino Acid Metabolism
beta-hydroxyisovalerate,Valine Leucine Isoleucine Degradation
beta-hydroxyisovaleroylcarnitine,Fatty Acid Degradation
betaine,Amino Acid Metabolism
"bilirubin (E,E)*",Porphyrin and Chlorophyll Metabolism
"bilirubin (E,Z or Z,E)*",Porphyrin and Chlorophyll Metabolism
"bilirubin (Z,Z)",Porphyrin and Chlorophyll Metabolism
"bilirubin degradation product, C16H18N2O5 (1)**",Porphyrin and Chlorophyll Metabolism
"bilirubin degradation product, C16H18N2O5 (2)**",Porphyrin and Chlorophyll Metabolism
"bilirubin degradation product, C16H18N2O5 (3)**",Porphyrin and Chlorophyll Metabolism
"bilirubin degradation product, C16H18N2O5 (4)**",Porphyrin and Chlorophyll Metabolism
"bilirubin degradation product, C17H18N2O4 (1)**",Porphyrin and Chlorophyll Metabolism
"bilirubin degradation product, C17H18N2O4 (2)**",Porphyrin and Chlorophyll Metabolism
"bilirubin degradation product, C17H18N2O4 (3)**",Porphyrin and Chlorophyll Metabolism
"bilirubin degradation product, C17H20N2O5 (1)**",Porphyrin and Chlorophyll Metabolism
"bilirubin degradation product, C17H20N2O5 (2)**",Porphyrin and Chlorophyll Metabolism
biliverdin,Porphyrin and Chlorophyll Metabolism
butyrate/isobutyrate (4:0),Valine Leucine Isoleucine Degradation
butyrylcarnitine (C4),Fatty Acid Degradation
carnitine,Fatty Acid Degradation
carnosine,Histidine Metabolism
"ceramide (d18:1/14:0, d16:1/16:0)*",Sphingolipid Metabolism
"ceramide (d18:1/17:0, d17:1/18:0)*",Sphingolipid Metabolism
"ceramide (d18:2/24:1, d18:1/24:2)*",Sphingolipid Metabolism
cerotoylcarnitine (C26)*,Fatty Acid Degradation
chenodeoxycholate,Primary Bile Acid Biosynthesis
cholate,Primary Bile Acid Biosynthesis
cholesterol,Steroid Hormone Biosynthesis
cholesterol sulfate,Steroid Hormone Biosynthesis
"cis-3,4-methyleneheptanoate",Fatty Acid Metabolism
"cis-3,4-methyleneheptanoylcarnitine",Fatty Acid Degradation
cis-4-decenoate (10:1n6)*,Fatty Acid Metabolism
cis-4-decenoylcarnitine (C10:1),Fatty Acid Degradation
citramalate,TCA Cycle
citrate,TCA Cycle
citrulline,Amino Acid Metabolism
corticosterone,Steroid Hormone Biosynthesis
cortisol,Steroid Hormone Biosynthesis
cortisone,Steroid Hormone Biosynthesis
creatine,Amino Acid Metabolism
creatinine,Amino Acid Metabolism
cystathionine,Amino Acid Metabolism
cysteine,Amino Acid Metabolism
cysteine s-sulfate,Amino Acid Metabolism
cysteine sulfinic acid,Amino Acid Metabolism
cysteine-glutathione disulfide,Amino Acid Metabolism
cysteinylglycine,Glutathione Metabolism
cysteinylglycine disulfide*,Glutathione Metabolism
cytidine,Pyrimidine Metabolism
cytosine,Pyrimidine Metabolism
decanoylcarnitine (C10),Fatty Acid Degradation
dehydroepiandrosterone sulfate (DHEA-S),Steroid Hormone Biosynthesis
deoxycarnitine,Fatty Acid Degradation
deoxycholate,Primary Bile Acid Biosynthesis
"diacylglycerol (16:1/18:2 [2], 16:0/18:3 [1])*",Glycerolipid Metabolism
dihomo-linoleate (20:2n6),Fatty Acid Metabolism
dihomo-linolenate (20:3n3 or n6),Fatty Acid Metabolism
dihomo-linolenoylcarnitine (C20:3n3 or 6)*,Fatty Acid Degradation
dihomo-linoleoylcarnitine (C20:2)*,Fatty Acid Degradation
dihydroorotate,Pyrimidine Metabolism
dimethylarginine (SDMA + ADMA),Amino Acid Metabolism
dimethylglycine,Amino Acid Metabolism
docosadienoate (22:2n6),Fatty Acid Metabolism
docosahexaenoate (DHA; 22:6n3),Fatty Acid Metabolism
docosahexaenoylcarnitine (C22:6)*,Fatty Acid Degradation
docosapentaenoate (n3 DPA; 22:5n3),Fatty Acid Metabolism
docosapentaenoate (n6 DPA; 22:5n6),Fatty Acid Metabolism
docosapentaenoylcarnitine (C22:5n3)*,Fatty Acid Degradation
dopamine 3-O-sulfate,Phenylalanine Metabolism
dopamine 4-sulfate,Phenylalanine Metabolism
eicosapentaenoate (EPA; 20:5n3),Fatty Acid Metabolism
eicosenoate (20:1),Fatty Acid Metabolism
eicosenoylcarnitine (C20:1)*,Fatty Acid Degradation
estrone 3-sulfate,Steroid Hormone Biosynthesis
ethylmalonate,Valine Leucine Isoleucine Degradation
fructose,Glycolysis / Gluconeogenesis
fumarate,TCA Cycle
gamma-glutamyl-alpha-lysine,Amino Acid Metabolism
gamma-glutamylalanine,Glutathione Metabolism
gamma-glutamylcitrulline*,Glutathione Metabolism
gamma-glutamylglutamate,Glutathione Metabolism
gamma-glutamylglutamine,Glutathione Metabolism
gamma-glutamylglycine,Glutathione Metabolism
gamma-glutamylhistidine,Glutathione Metabolism
gamma-glutamylisoleucine*,Glutathione Metabolism
gamma-glutamylleucine,Glutathione Metabolism
gamma-glutamylmethionine,Glutathione Metabolism
gamma-glutamylphenylalanine,Glutathione Metabolism
gamma-glutamylthreonine,Glutathione Metabolism
gamma-glutamyltryptophan,Tryptophan Metabolism
gamma-glutamyltyrosine,Glutathione Metabolism
gamma-glutamylvaline,Glutathione Metabolism
glucose,Glycolysis / Gluconeogenesis
glucuronate,Glycolysis / Gluconeogenesis
glutamate,Amino Acid Metabolism
glutamine,Amino Acid Metabolism
glutamine conjugate of C6H10O2 (1)*,Amino Acid Metabolism
glutamine conjugate of C6H10O2 (2)*,Amino Acid Metabolism
glutamine conjugate of C7H12O2*,Amino Acid Metabolism
glutarylcarnitine (C5-DC),Fatty Acid Degradation
glycerophosphoethanolamine,Glycerophospholipid Metabolism
glycine,Amino Acid Metabolism
glycine conjugate of C10H12O2*,Amino Acid Metabolism
glycine conjugate of C10H14O2 (1)*,Amino Acid Metabolism
glyco-beta-muricholate**,Primary Bile Acid Biosynthesis
glycochenodeoxycholate,Primary Bile Acid Biosynthesis
glycochenodeoxycholate 3-sulfate,Primary Bile Acid Biosynthesis
glycochenodeoxycholate glucuronide (1),Primary Bile Acid Biosynthesis
glycocholate,Primary Bile Acid Biosynthesis
glycocholate glucuronide (1),Primary Bile Acid Biosynthesis
glycodeoxycholate,Primary Bile Acid Biosynthesis
glycodeoxycholate 3-sulfate,Primary Bile Acid Biosynthesis
glycohyocholate,Primary Bile Acid Biosynthesis
glycolithocholate,Primary Bile Acid Biosynthesis
glycolithocholate sulfate*,Primary Bile Acid Biosynthesis
"glycosyl ceramide (d18:1/20:0, d16:1/22:0)*",Sphingolipid Metabolism
"glycosyl ceramide (d18:2/24:1, d18:1/24:2)*",Sphingolipid Metabolism
glycosyl-N-palmitoyl-sphingosine (d18:1/16:0),Sphingolipid Metabolism
glycosyl-N-stearoyl-sphingosine (d18:1/18:0),Sphingolipid Metabolism
glycoursodeoxycholate,Primary Bile Acid Biosynthesis
guanidinoacetate,Amino Acid Metabolism
heme,Porphyrin and Chlorophyll Metabolism
heneicosapentaenoate (21:5n3),Fatty Acid Metabolism
heptanoate (7:0),Fatty Acid Metabolism
hexadecasphingosine (d16:1)*,Sphingolipid Metabolism
hexanoylcarnitine (C6),Fatty Acid Degradation
histidine,Amino Acid Metabolism
hydroxypalmitoyl sphingomyelin (d18:1/16:0(OH))**,Sphingolipid Metabolism
hyocholate,Primary Bile Acid Biosynthesis
hypoxanthine,Purine Metabolism
imidazole lactate,Glycolysis / Gluconeogenesis
imidazole propionate,Histidine Metabolism
indole-3-carboxylate,Tryptophan Metabolism
indoleacetate,Tryptophan Metabolism
indoleacetoylcarnitine*,Fatty Acid Degradation
indoleacetylglutamine,Tryptophan Metabolism
indolebutyrate,Tryptophan Metabolism
indolelactate,Tryptophan Metabolism
indolepropionate,Tryptophan Metabolism
indolepropionylglycine,Tryptophan Metabolism
indoxyl glucuronide,Tryptophan Metabolism
inosine,Purine Metabolism
inosine 5'-monophosphate (IMP),Purine Metabolism
isobutyrylcarnitine (C4),Fatty Acid Degradation
isobutyrylglycine,Valine Leucine Isoleucine Degradation
isoleucine,Amino Acid Metabolism
isoursodeoxycholate,Primary Bile Acid Biosynthesis
isovalerate (i5:0),Fatty Acid Metabolism
isovalerylcarnitine (C5),Fatty Acid Degradation
isovalerylglycine,Valine Leucine Isoleucine Degradation
kynurenate,Tryptophan Metabolism
kynurenine,Tryptophan Metabolism
lactate,Glycolysis / Gluconeogenesis
lactosyl-N-behenoyl-sphingosine (d18:1/22:0)*,Sphingolipid Metabolism
lactosyl-N-nervonoyl-sphingosine (d18:1/24:1)*,Sphingolipid Metabolism
lactosyl-N-palmitoyl-sphingosine (d18:1/16:0),Sphingolipid Metabolism
laurate (12:0),Fatty Acid Metabolism
laurylcarnitine (C12),Fatty Acid Degradation
leucine,Amino Acid Metabolism
lignoceroyl sphingomyelin (d18:1/24:0),Sphingolipid Metabolism
lignoceroylcarnitine (C24)*,Fatty Acid Degradation
linoleate (18:2n6),Fatty Acid Metabolism
linolenate [alpha or gamma; (18:3n3 or 6)],Fatty Acid Metabolism
linolenoylcarnitine (C18:3)*,Fatty Acid Degradation
linoleoylcarnitine (C18:2)*,Fatty Acid Degradation
lithocholate sulfate (1),Primary Bile Acid Biosynthesis
lysine,Amino Acid Metabolism
malate,TCA Cycle
mannitol/sorbitol,Glycolysis / Gluconeogenesis
mannose,Glycolysis / Gluconeogenesis
margarate (17:0),Fatty Acid Metabolism
margaroylcarnitine (C17)*,Fatty Acid Degradation
mead acid (20:3n9),Fatty Acid Metabolism
methionine,Amino Acid Metabolism
methionine sulfone,Amino Acid Metabolism
methionine sulfoxide,Amino Acid Metabolism
methylmalonate (MMA),Valine Leucine Isoleucine Degradation
methylsuccinate,Valine Leucine Isoleucine Degradation
methylsuccinoylcarnitine,Fatty Acid Degradation
myristate (14:0),Fatty Acid Metabolism
myristoleoylcarnitine (C14:1)*,Fatty Acid Degradation
myristoyl dihydrosphingomyelin (d18:0/14:0)*,Sphingolipid Metabolism
myristoylcarnitine (C14),Fatty Acid Degradation
nervonoylcarnitine (C24:1)*,Fatty Acid Degradation
nicotinamide,Nicotinate and Nicotinamide Metabolism
nicotinamide riboside,Nicotinate and Nicotinamide Metabolism
nonadecanoate (19:0),Fatty Acid Metabolism
nonanoylcarnitine (C9),Fatty Acid Degradation
octadecanedioylcarnitine (C18-DC)*,Fatty Acid Degradation
octadecenedioylcarnitine (C18:1-DC)*,Fatty Acid Degradation
octanoylcarnitine (C8),Fatty Acid Degradation
oleate/vaccenate (18:1),Fatty Acid Metabolism
oleoylcarnitine (C18:1),Fatty Acid Degradation
ornithine,Amino Acid Metabolism
orotate,Pyrimidine Metabolism
p-cresol glucuronide*,Phenylalanine Metabolism
palmitate (16:0),Fatty Acid Metabolism
palmitoleate (16:1n7),Fatty Acid Metabolism
palmitoleoylcarnitine (C16:1)*,Fatty Acid Degradation
palmitoyl dihydrosphingomyelin (d18:0/16:0)*,Sphingolipid Metabolism
palmitoyl sphingomyelin (d18:1/16:0),Sphingolipid Metabolism
palmitoyl-sphingosine-phosphoethanolamine (d18:1/16:0),Sphingolipid Metabolism
palmitoylcarnitine (C16),Fatty Acid Degradation
pantothenate,Cofactor Biosynthesis
pentadecanoate (15:0),Fatty Acid Metabolism
phenylacetate,Phenylalanine Metabolism
phenylacetylcarnitine,Fatty Acid Degradation
phenylacetylglutamine,Phenylalanine Metabolism
phenylalanine,Amino Acid Metabolism
phenyllactate (PLA),Phenylalanine Metabolism
phenylpyruvate,Phenylalanine Metabolism
picolinate,Tryptophan Metabolism
pimeloylcarnitine/3-methyladipoylcarnitine (C7-DC),Fatty Acid Degradation
pregnenolone sulfate,Steroid Hormone Biosynthesis
proline,Amino Acid Metabolism
prolylglycine,Amino Acid Metabolism
propionylcarnitine (C3),Fatty Acid Degradation
pseudouridine,Modified Nucleoside Metabolism
pyruvate,Glycolysis / Gluconeogenesis
quinolinate,Tryptophan Metabolism
sarcosine,Amino Acid Metabolism
sebacate (C10-DC),Fatty Acid Metabolism
serine,Amino Acid Metabolism
serotonin,Tryptophan Metabolism
spermidine,Amino Acid Metabolism
spermine,Amino Acid Metabolism
sphinganine,Sphingolipid Metabolism
sphinganine-1-phosphate,Sphingolipid Metabolism
"sphingomyelin (d17:1/14:0, d16:1/15:0)*",Sphingolipid Metabolism
"sphingomyelin (d17:1/16:0, d18:1/15:0, d16:1/17:0)*",Sphingolipid Metabolism
"sphingomyelin (d17:2/16:0, d18:2/15:0)*",Sphingolipid Metabolism
"sphingomyelin (d18:0/18:0, d19:0/17:0)*",Sphingolipid Metabolism
"sphingomyelin (d18:0/20:0, d16:0/22:0)*",Sphingolipid Metabolism
"sphingomyelin (d18:1/14:0, d16:1/16:0)*",Sphingolipid Metabolism
"sphingomyelin (d18:1/17:0, d17:1/18:0, d19:1/16:0)",Sphingolipid Metabolism
"sphingomyelin (d18:1/18:1, d18:2/18:0)",Sphingolipid Metabolism
